PM ID,Match class,Notes,Lookup Sentence,Top Yielded Sentence,score
350740,Very similar,,"donations for corona till now.....

 tata: 1500 crore
wipro:1125 crore
amir khan:250 crore
 itc: 150 crore
 hindustan unilever: 100 crore
 anil agarwal (vedanta): 100 crore
 hero cycle: 100 crore
 bajaj group: 100 crore
 shirdi temple: 51 crore
 bcci: 51 crore
 crpf: 33 crore
 akshay kumar, actor: 25 crore
 sun pharma: 25 crore
 ola: 20 crore
 paytm: 5 crore + handwash
 mukesh ambani: 500 crore + hospital
 adani group 500 crore
 anand mahindra: hotels + ventilator
 prabhas , actor: 4 crore
 nadella (microsoft): 2 cr.
 anita dongre: 1.5 crore
 allu arjun:.  1.25 crore
 ram charan: 1.40 crore
 somnath temple trust: 1 crore
","donations for corona till now.....

 tata: 1500 crore
 itc: 150 crore
 hindustan unilever: 100 crore
 anil agarwal (vedanta): 100 crore
 hero cycle: 100 crore
 bajaj group: 100 crore
 shirdi temple: 51 crore
 bcci: 51 crore
 crpf: 33 crore
 akshay kumar, actor: 25 crore
 sun pharma: 25 crore
 ola: 20 crore
 paytm: 5 crore + handwash
 mukesh ambani: 500 crore + hospital
 adani group 500 crore
 anand mahindra: hotels + ventilator
 prabhas , actor: 4 crore
 nadella (microsoft): 2 cr.
 anita dongre: 1.5 crore
 allu arjun:.  1.25 crore
 ram charan: 1.40 crore
 somnath temple trust: 1 crore
 pawan kalyan, actor:",438.881380
353780,Very similar,,"donations for corona till now.....

 tata: 1500 crore
 itc: 150 crore
 hindustan unilever: 100 crore
 anil agarwal (vedanta): 100 crore
 hero cycle: 100 crore
 bajaj group: 100 crore
 shirdi temple: 51 crore
 bcci: 51 crore
 crpf: 33 crore
 akshay kumar, actor: 25 crore
 sun pharma: 25 crore
 ola: 20 crore
 paytm: 5 crore + handwash
 mukesh ambani: 500 crore + hospital
 adani group 500 crore
 anand mahindra: hotels + ventilator
 prabhas , actor: 4 crore
 nadella (microsoft): 2 cr.
 anita dongre: 1.5 crore
 allu arjun:.  1.25 crore
 ram charan: 1.40 crore
 somnath temple trust: 1 crore
 pawan kalyan, actor:","donations for corona till now.....

 tata: 1500 crore
 itc: 150 crore
 hindustan unilever: 100 crore
 anil agarwal (vedanta): 100 crore
 hero cycle: 100 crore
 bajaj group: 100 crore
 shirdi temple: 51 crore
 bcci: 51 crore
 crpf: 33 crore
 akshay kumar, actor: 25 crore
 sun pharma: 25 crore
 ola: 20 crore
 paytm: 5 crore + handwash
 mukesh ambani: 500 crore + hospital
 adani group 500 crore
 anand mahindra: hotels + ventilator
 prabhas , actor: 4 crore
 nadella (microsoft): 2 cr.
 anita dongre: 1.5 crore
 allu arjun:.  1.25 crore
 ram charan: 1.40 crore
 somnath temple trust: 1 crore
 pawan kalyan, actor:",433.352600
338921,Very similar,,"donations for corona till now.....

 tata: 1500 crore
 itc: 150 crore
 hindustan unilever: 100 crore
 anil agarwal (vedanta): 100 crore
 hero cycle: 100 crore
 bajaj group: 100 crore
 shirdi temple: 51 crore
 bcci: 51 crore
 crpf: 33 crore
 akshay kumar, actor: 25 crore
 sun pharma: 25 crore
 ola: 20 crore
 paytm: 5 crore + handwash
 mukesh ambani: 500 crore + hospital
 adani group 500 crore
 anand mahindra: hotels + ventilator
 prabhas , actor: 4 crore
 nadella (microsoft): 2 cr.
 anita dongre: 1.5 crore
 allu arjun:.  1.25 crore
 ram charan: 1.40 crore
 somnath temple trust: 1 crore
 pawan kalyan, actor:","donations for corona till now.....

 tata: 1500 crore
 itc: 150 crore
 hindustan unilever: 100 crore
 anil agarwal (vedanta): 100 crore
 hero cycle: 100 crore
 bajaj group: 100 crore
 shirdi temple: 51 crore
 bcci: 51 crore
 crpf: 33 crore
 akshay kumar, actor: 25 crore
 sun pharma: 25 crore
 ola: 20 crore
 paytm: 5 crore + handwash
 mukesh ambani: 500 crore + hospital
 adani group 500 crore
 anand mahindra: hotels + ventilator
 prabhas , actor: 4 crore
 nadella (microsoft): 2 cr.
 anita dongre: 1.5 crore
 allu arjun:.  1.25 crore
 ram charan: 1.40 crore
 somnath temple trust: 1 crore
 pawan kalyan, actor:",420.886440
328776,Very similar,,"donations for corona till now.....

 tata: 1500 crore
 itc: 150 crore
 hindustan unilever: 100 crore
 anil agarwal (vedanta): 100 crore
 hero cycle: 100 crore
 bajaj group: 100 crore
 shirdi temple: 51 crore
 bcci: 51 crore
 crpf: 33 crore
 akshay kumar, actor: 25 crore
 sun pharma: 25 crore
 ola: 20 crore
 paytm: 5 crore + handwash
 mukesh ambani: 500 crore + hospital
 adani group 500 crore
 anand mahindra: hotels + ventilator
 prabhas , actor: 4 crore
 nadella (microsoft): 2 cr.
 anita dongre: 1.5 crore
 allu arjun:.  1.25 crore
 ram charan: 1.40 crore
 somnath temple trust: 1 crore
 pawan kalyan, actor:","donation for corona till now

*tata : 1500 crore*
*itc : 150 crore*
*hindustan unilever :100 crore*
*anil agarwal (vedanta) : 100 crore*
*hero cycle : 100 crore*
*bajaj group : 100 crore*
*shirdi : 51 crore*
*bcci : 51 crore*
*crpf : 33 crore*
*akshay kumar : 25 crore*
*sun pharma : 25 crore*
*ola : 20 crore*
*paytm : 5 crore + handwash*
*mukesh ambani : 5 crore + hospital*
*anand mahindra : hotels + ventilator*
*prabhas : 4 crore*
*anupama nadela(microsoft) : 2 crore*
*anita dongre : 1.5 crore*
*allu arjun : . 1.25 crore*
*ram charan : 1.40 crore*
*somnath trust : 1 crore*
*pawan kalyan : 1 crore*
*mahesh babu : 1 crore*
*chiranjivi : 1 crore*
*hema",383.625270
350748,Very similar,,"* help share 🙏: --- √👍👍 *

 doctors in china confirm.
 這 是 100 ％ 準確 的 信息 ，
 this information is 100% accurate
 對於 每個 人 都 非常 有效。
 very effective for everyone

 為什麼 中國 大陸 過去 幾天 大大 減少 了 感染 人數
 china has significantly reduced the number of infections in the past few days.

 除了 戴 口罩 勤 洗手 外 ，
 besides wearing masks and washing hands

 他們 只是 簡單 地 每天 漱口 3 次 鹽水
 they also gargle salt water 3 times a day

 完成 後 ， 喝水 5 分鐘。
 after that, drink warm water for","help share 🙏: --- √👍👍 *

 doctors in china confirm.
 這 是 100 ％ 準確 的 信息 ，
 this information is 100% accurate
 對於 每個 人 都 非常 有效。
 very effective for everyone

 為什麼 中國 大陸 過去 幾天 大大 減少 了 感染 人數
 china has significantly reduced the number of infections in the past few days.

 除了 戴 口罩 勤 洗手 外 ，
 besides wearing masks and washing hands

 他們 只是 簡單 地 每天 漱口 3 次 鹽水
 they also gargle salt water 3 times a day

 完成 後 ， 喝水 5 分鐘。
 after that, drink warm water for 5",290.963070
332082,Very similar,,"hi
*world health organisation protocol&procedure of lockdown periods for controlling  on most dangerous virus*

step 1 - 1 day.
step 2- 21 days.
after 5 days.
step 3- 28 days.
after 5 days.
step 4 - 15 days.

the sameway, our indian governments are follow:
mar22-1 day ( trial lockdown)

mar24-apr14 - 21 days(first lockdown)

april15- april19 - relax from lockdown.

apr20 - may 18 - 28days(second lockdown)

*incase,covid19 patient ratio is zero*
withdraw the lockdown.
otherwise,
may19 - may 24 - relax from lockdown.

may 25 - june 10 - 15 days (final lockdown).
this msg is true ?","*world health organisation protocol&procedure of lockdown periods for controlling  on most dangerous virus*

step 1 - 1 day.
step 2- 21 days.
after 5 days.
step 3- 28 days.
after 5 days.
step 4 - 15 days.

the sameway, our indian governments are follow:
mar22-1 day ( trial lockdown)

mar24-apr14 - 21 days(first lockdown)

april15- april19 - relax from lockdown.

apr20 - may 18 - 28days(second lockdown)

*incase,covid19 patient ratio is zero*
withdraw the lockdown.
otherwise,
may19 - may 24 - relax from lockdown.

may 25 - june 10 - 15 days (final lockdown).
subject to situations ??????",214.835680
274552,Not similar,,ki me me to me me me look ok look look look look look look look look look look look look look look look look look look look look look look look look look look look look look look look unit,plz look at video until end,206.587660
333338,Very similar,,"*world health organisation protocol&procedure of lockdown periods for controlling  on most dangerous virus*

step 1 - 1 day.
step 2- 21 days.
after 5 days.
step 3- 28 days.
after 5 days.
step 4 - 15 days.

the sameway, our indian governments are follow:
mar22-1 day ( trial lockdown)

mar24-apr14 - 21 days(first lockdown)

april15- april19 - relax from lockdown.

apr20 - may 18 - 28days(second lockdown)

*incase,covid19 patient ratio is zero*
withdraw the lockdown.
otherwise,
may19 - may 24 - relax from lockdown.

may 25 - june 10 - 15 days (final lockdown).
is this a true massage?","*world health organisation protocol&procedure of lockdown periods for controlling  on most dangerous virus*

step 1 - 1 day.
step 2- 21 days.
after 5 days.
step 3- 28 days.
after 5 days.
step 4 - 15 days.

the sameway, our indian governments are follow:
mar22-1 day ( trial lockdown)

mar24-apr14 - 21 days(first lockdown)

april15- april19 - relax from lockdown.

apr20 - may 18 - 28days(second lockdown)

*incase,covid19 patient ratio is zero*
withdraw the lockdown.
otherwise,
may19 - may 24 - relax from lockdown.

may 25 - june 10 - 15 days (final lockdown).
is it true???",205.961980
333142,Very similar,,"*world health organisation protocol&procedure of lockdown periods for controlling  on most dangerous virus*

step 1 - 1 day.
step 2- 21 days.
after 5 days.
step 3- 28 days.
after 5 days.
step 4 - 15 days.

the sameway, our indian governments are follow:
mar22-1 day ( trial lockdown)

mar24-apr14 - 21 days(first lockdown)

april15- april19 - relax from lockdown.

apr20 - may 18 - 28days(second lockdown)

*incase,covid19 patient ratio is zero*
withdraw the lockdown.
otherwise,
may19 - may 24 - relax from lockdown.

may 25 - june 10 - 15 days (final lockdown).
i got this message today whether it is true or fake","*world health organisation protocol&procedure of lockdown periods for controlling  on most dangerous virus*

step 1 - 1 day.
step 2- 21 days.
after 5 days.
step 3- 28 days.
after 5 days.
step 4 - 15 days.

the sameway, our indian governments are follow:
mar22-1 day ( trial lockdown)

mar24-apr14 - 21 days(first lockdown)

april15- april19 - relax from lockdown.

apr20 - may 18 - 28days(second lockdown)

*incase,covid19 patient ratio is zero*
withdraw the lockdown.
otherwise,
may19 - may 24 - relax from lockdown.

may 25 - june 10 - 15 days (final lockdown).
is it true???",205.840560
333533,Very similar,,"is there a check on the msg....
*world health organisation protocol&procedure of lockdown periods for controlling  on most dangerous virus*

step 1 - 1 day.
step 2- 21 days.
after 5 days.
step 3- 28 days.
after 5 days.
step 4 - 15 days.

the sameway, our indian governments are follow:
mar22-1 day ( trial lockdown)

mar24-apr14 - 21 days(first lockdown)

april15- april19 - relax from lockdown.

apr20 - may 18 - 28days(second lockdown)

*incase,covid19 patient ratio is zero*
withdraw the lockdown.
otherwise,
may19 - may 24 - relax from lockdown.

may 25 - june 10 - 15 days (final lockdown).","check its authenticity
*world health organisation protocol&procedure of lockdown periods for controlling  on most dangerous virus*

step 1 - 1 day.
step 2- 21 days.
after 5 days.
step 3- 28 days.
after 5 days.
step 4 - 15 days.

the sameway, our indian governments are follow:
mar22-1 day ( trial lockdown)

mar24-apr14 - 21 days(first lockdown)

april15- april19 - relax from lockdown.

apr20 - may 18 - 28days(second lockdown)

*incase,covid19 patient ratio is zero*
withdraw the lockdown.
otherwise,
may19 - may 24 - relax from lockdown.

may 25 - june 10 - 15 days (final lockdown).",205.730640
