PM ID,Match class,Notes,Database-Stored Sentence,Top Yielded Sentence,score
131899,Very similar,,"*what do you do with the receipts you receive in the toll gates?

here is what you need to.know* .

the receipts you receive during your travel on national highways roads is not only to cross the toll gates.

 *then what else is it for?*
1. during medical emergency you can call the phone number given on the other side of the receipt. ambulance will arrive within 10 minutes of your call.

2. if your vehicle has some issue your wheel has got  punctured you can call the other number mentioned there and you will get assistance in10 minutes.

3. if you are","*what do you do with the receipts you receive in the toll gates?

here is what you need to.know* .

the receipts you receive during your travel on national highways roads is not only to cross the toll gates.

 *then what else is it for?*
1. during medical emergency you can call the phone number given on the other side of the receipt. ambulance will arrive within 10 minutes of your call.

2. if your vehicle has some issue your wheel has got  punctured you can call the other number mentioned there and you will get assistance in10 minutes.

3. if you are",1.064539
131743,Not similar,,sir ji hmko help chahiye pliiz,plz reply in hindi launguage,1.041925
131658,Not similar,,ye rhe inke duara de gye dhamki ki screen shot s,plz reply in hindi launguage,1.040439
230850,Very similar,,"police arrested 63 madrasa children in raja bazar, kolkata
 children say that training to become a terrorist is given in madrasa
 when this thing went to the media, the media people said that we cannot show, we do not have orders from above.
 so all of you can share this video as much as possible, so that the children of muslims are taught in the madrasa, what is taught, the reality of what is taught
 most of the madrasas in india have similar training.
 the works of dividing the country in the name of studies are done in madrasas, they","police arrested 63 madrasa children in raja bazar, kolkata
 children say that training to become a terrorist is given in madrasa
 when this thing went to the media, the media people said that we cannot show, we do not have orders from above.
 so all of you can share this video as much as possible, so that the children of muslims are taught in the madrasa, what is taught, the reality of what is taught
 most of the madrasas in india have similar training.
 the works of dividing the country in the name of studies are done in madrasas, they",1.001296
287250,Very similar,,"unicef
 corona virus is large in size where the cell diameter is 400-500 micro and for this reason *any mask prevents its entry*

 the virus does not settle in the air but is grounded, so it is *not transmitted by air*.

 coronavirus when it falls on a metal surface, it will live 12 hours, so *washing hands with soap* and water well enough.

 corona virus when it falls on the fabric remains 9 hours, so *washing clothes* or *being exposed to the sun for two hours* meets the purpose of killing it.

 the virus lives on the hands for 10","unicef
 corona virus is large in size where the cell diameter is 400-500 micro and for this reason *any mask prevents its entry*

 the virus does not settle in the air but is grounded, so it is *not transmitted by air*.

 coronavirus when it falls on a metal surface, it will live 12 hours, so *washing hands with soap* and water well enough.

 corona virus when it falls on the fabric remains 9 hours, so *washing clothes* or *being exposed to the sun for two hours* meets the purpose of killing it.

 the virus lives on the hands for 10",1.000971
307144,Very similar,,"_*breaking news from cnn :-*_

*dr. li wenliang*, china's hero doctor who was punished for telling the truth about corona virus and later died due to the same disease, had documented casefiles for research purposes and had in the casefiles proposed a cure that would significantly decrease the impact of the covid - 19 virus on the human body. the chemical *methylxanthine*, *theobromine* and *theophylline* stimulate compounds that can ward off these virus in a human with atleast an average immune system. whats more shocking is that these complex words that were so difficult for people in china to understand is","_*breaking news from cnn :-*_

*dr. li wenliang*, china's hero doctor who was punished for telling the truth about corona virus and later died due to the same disease, had documented casefiles for research purposes and had in the casefiles proposed a cure that would significantly decrease the impact of the covid - 19 virus on the human body. the chemical *methylxanthine*, *theobromine* and *theophylline* stimulate compounds that can ward off these virus in a human with atleast an average immune system. whats more shocking is that these complex words that were so difficult for people in china to understand is",1.000544
353498,Very similar,,thank you so much 🙏,thank you so much😇,1.000204
131701,Not similar,,"*robert wadra* :  in ten years he amassed more wealth than ambani family.
the indian media failed to show but the bbc has made a small video. please watch it.",ye rhe inke duara de gye dhamki ki screen shot s,0.991540
352894,Very similar,,"sir please help me my life is in dangwr
i am rajiv jagwani from lucknow. i am a victom of fraud & gundagardiby some people i had a fraud of rs 5 lakh by rtgsanotger fraud of rs 15 lakhby the same person ram gopal. he has captured a floor of 4000 sq ft at my complex besides this i have been getting threatning calls "" 50 lakh de do nai to tumhare porre complex pe kabza kr layn gee "" after that my complex was set on fire on 2nd may 2019besides that, i faced an accident on 11th august","sir please help me my life is in danger
i am rajiv jagwani from lucknow. i am a victom of fraud & gundagardiby some people i had a fraud of rs 5 lakh by rtgsanotger fraud of rs 15 lakhby the same person ram gopal. he has captured a floor of 4000 sq ft at my complex besides this i have been getting threatning calls "" 50 lakh de do nai to tumhare porre complex pe kabza kr layn gee "" after that my complex was set on fire on 2nd may 2019besides that, i faced an accident on 11th august",0.981108
332623,Very similar,,"*world health organisation protocol&procedure of lockdown periods for controlling  on most dangerous virus*

step 1 - 1 day.
step 2- 21 days.
after 5 days.
step 3- 28 days.
after 5 days.
step 4 - 15 days.

the sameway, our indian governments are follow:
mar22-1 day ( trial lockdown)

mar24-apr14 - 21 days(first lockdown)

april15- april19 - relax from lockdown.

apr20 - may 18 - 28days(second lockdown)

*incase,covid19 patient ratio is zero*
withdraw the lockdown.
otherwise,
apr20 - may 24 - relax from lockdown.

may 25 - june 10 - 15 days (final lockdown).
ok","*world health organisation protocol&procedure of lockdown periods for controlling  on most dangerous virus*

step 1 - 1 day.
step 2- 21 days.
after 5 days.
step 3- 28 days.
after 5 days.
step 4 - 15 days.

the sameway, our indian governments are follow:
mar22-1 day ( trial lockdown)

mar24-apr14 - 21 days(first lockdown)

april15- april19 - relax from lockdown.

apr20 - may 18 - 28days(second lockdown)

*incase,covid19 patient ratio is zero*
withdraw the lockdown.
otherwise,
may19 - may 24 - relax from lockdown.

may 25 - june 10 - 15 days (final lockdown).",0.978949
