PM ID,Match Class,Notes,Lookup Sentence,Top Yielded Sentence,score,Character length
294428,Very similar,,"corona virus cases..

new york
wk 1 - 2
wk 2 - 105
wk 3 - 613

france
wk 1 - 12
wk 2 - 191
wk 3 - 653
wk 4 - 4499

iran
wk 1 - 2
wk 2 - 43
wk 3 - 245
wk 4 - 4747
wk 5 - 12729

italy
wk 1 - 3
wk 2 - 152
wk 3 - 1036
wk 4 - 6362
wk 5 - 21157

spain
wk 1 - 8
wk 3 - 674
wk 4 - 6043


india

week 1 - 3
week 2 - 24
week 3 - 105

next two weeks are crucial for india.
if we take adequate precaution and break the chain then we can tide the corona virus outbreak else we have","corona virus cases..

new york
wk 1 - 2
wk 2 - 105
wk 3 - 613

france
wk 1 - 12
wk 2 - 191
wk 3 - 653
wk 4 - 4499

iran
wk 1 - 2
wk 2 - 43
wk 3 - 245
wk 4 - 4747
wk 5 - 12729

italy
wk 1 - 3
wk 2 - 152
wk 3 - 1036
wk 4 - 6362
wk 5 - 21157

spain
wk 1 - 8
wk 3 - 674
wk 4 - 6043

india
week 1 - 3
week 2 - 24
week 3 - 105

next two weeks are crucial for india.
if we take adequate precaution and break the chain then we can tide the corona virus outbreak else we have a",1.00086,468
332980,Very similar,,"*world health organisation protocol&procedure of lockdown periods for controlling  on most dangerous virus*

step 1 - 1 day.
step 2- 21 days.
after 5 days.
step 3- 28 days.
after 5 days.
step 4 - 15 days.

the sameway, our indian governments are follow:
mar22-1 day ( trial lockdown)

mar24-apr14 - 21 days(first lockdown)

april15- april19 - relax from lockdown.

apr20 - may 18 - 28days(second lockdown)

*incase,covid19 patient ratio is zero*
withdraw the lockdown.
otherwise,
may19 - may 24 - relax from lockdown.

may 25 - june 10 - 15 days (final lockdown).
this is only a forwarded message.just for information and alert please.","*world health organisation protocol&procedure of lockdown periods for controlling  on most dangerous virus*

step 1 - 1 day.
step 2- 21 days.
after 5 days.
step 3- 28 days.
after 5 days.
step 4 - 15 days.

the sameway, our indian governments are follow:
mar22-1 day ( trial lockdown)

mar24-apr14 - 21 days(first lockdown)

april15- april19 - relax from lockdown.

apr20 - may 18 - 28days(second lockdown)

*incase,covid19 patient ratio is zero*
withdraw the lockdown.
otherwise,
may19 - may 24 - relax from lockdown.

may 25 - june 10 - 15 days (final lockdown).
subject to situations ??????",1.00029,635
351576,Very similar,,"**** lockdown calendar == world health organisation == """"w.h.o"""" == protocol & procedure of lockdown periods for controlling over the most dangerous virus****

step 1 = 1 day.
step 2 = 21 days.
after 5 days.
step 3. = 28 days.
after 5 days.
step 4 = 15 days.

the same way, our indian govt was following the w.h.o.'s lockdown calendar :::==
mar 22 = 1 day ( trial lockdown)

mar 24 = apr14 = 21 days (first phase of lockdown)

april15 = april 19 = relax from the lockdown.

apr 20 = may 18 = 28 days (second phase of lockdown)

***incase, covid=19 patient ratio is zero***
withdraw from the lockdown.
otherwise,
may19 =","**** lockdown calendar == world health organisation == """"w.h.o"""" == protocol & procedure of lockdown periods for controlling  over the most dangerous virus****

step 1 = 1 day.
step 2 = 21 days.
after 5 days.
step 3. = 28 days.
after 5 days.
step 4  = 15 days.

the same way, our indian govt was following the w.h.o.'s lockdown calendar :::==
mar 22 = 1 day ( trial lockdown)

mar 24 = apr14 = 21 days  (first phase of lockdown)

april15 = april 19 =  relax from the lockdown.

apr 20 = may 18 = 28 days (second phase of lockdown)

***incase, covid=19 patient ratio is zero***
withdraw",1.00022,619
200551,Very similar,,"hi
*most urgent,very serious, important information*📣

*ministry of health’s emergency notification to the public that the coronavirus influenza outbreak this time is very very serious & fatal. there's no cure once you are infected.*
*its spreading from china to various countries*

*prevention method is to keep your throat moist, do not let your throat dry up. thus do not hold your thirst because once your membrane in your throat is dried, the virus will invade into your body within 10 mins.*
*drink 50-80cc warm water, 30-50cc for kids, according to age.* *everytime u feel your throat is dry, do not wait, keep water in hand.*","*most urgent,very serious, important information*📣

*ministry of health’s emergency notification to the public that the coronavirus influenza outbreak this time is very very serious & fatal. there's no cure once you are infected.*
*its spreading from china to various countries*

*prevention method is to keep your throat moist, do not let your throat dry up. thus do not hold your thirst because once your membrane in your throat is dried, the virus will invade into your body within 10 mins.*
*drink 50-80cc warm water, 30-50cc for kids, according to age.* *everytime u feel your throat is dry, do not wait, keep water in hand.*",0.99137,633
338026,Very similar,,"hai.
*world health organisation protocol&procedure of lockdown periods for controlling  on most dangerous virus*

step 1 - 1 day.
step 2- 21 days.
after 5 days.
step 3- 28 days.
after 5 days.
step 4 - 15 days.

the sameway, our indian governments are follow:
mar22-1 day ( trial lockdown)

mar24-apr14 - 21 days(first lockdown)

april15- april19 - relax from lockdown.

apr20 - may 18 - 28days(second lockdown)

*incase,covid19 patient ratio is zero*
withdraw the lockdown.
otherwise,
may19 - may 24 - relax from lockdown.

may 25 - june 10 - 15 days (final lockdown).","hi
*world health organisation protocol&procedure of lockdown periods for controlling  on most dangerous virus*

step 1 - 1 day.
step 2- 21 days.
after 5 days.
step 3- 28 days.
after 5 days.
step 4 - 15 days.

the sameway, our indian governments are follow:
mar22-1 day ( trial lockdown)

mar24-apr14 - 21 days(first lockdown)

april15- april19 - relax from lockdown.

apr20 - may 18 - 28days(second lockdown)

*incase,covid19 patient ratio is zero*
withdraw the lockdown.
otherwise,
may19 - may 24 - relax from lockdown.

may 25 - june 10 - 15 days (final lockdown).
this msg is true ?",0.98790,568
309825,Very similar,,"great news! carona virus vaccine ready. able to cure patient within 3 hours after injection. hats off to us scientists.
right now  trump announced that roche medical company will launch the vaccine next sunday, and millions of doses are ready from it !!!
plz check🙏🙏🙏","great news! carona virus vaccine ready. able to cure patient within 3 hours after injection. hats off to us scientists.
right now  trump announced that roche medical company will launch the vaccine next sunday, and millions of doses are ready from it !!!",0.98775,266
217578,Very similar,,"pass it please

good news, wuhan's corona virus can be cured by one bowl of freshly boiled garlic water.
old chinese doctor has proven it's efficacy.  many patients has also proven this to be effective. eight (8) cloves of chopped garlics add seven (7)cups of water and bring to boil.,  eat and drink the boiled garlic water, overnight improvement and healing. glad to share this.","forwared~~

good news, wuhan's corona virus can be cured by one bowl of freshly boiled garlic water.
old chinese doctor has proven it's efficacy.  many patients has also proven this to be effective. eight (8) cloves of chopped garlics add seven (7)cups of water and bring to boil.,  eat and drink the boiled garlic water, overnight improvement and healing. glad to share this.",0.98648,380
343367,Very similar,,"actions in whatsapp

1. √ = message sent

2. √√ = message delivered

3. 2 blue √√ = message read

4. 3 blue √√√ = government has taken a note

5. 2 blue 1 red √√√ = government can take action against you

6.  एक नीली और दो लाल 1 blue 2 red √√√ = government is screening your data

7. 3 red √√√ =  government has initiated action & you'll receive summons from court

be a responsible citizen & share with your friends

🙏🏽🙏🏽🙏🏽","whatsapp info regarding √

1. √ = message sent

2. √√ = message delivered

3. 2 blue √√ = message read

4. 3 blue √√√ = government has taken a note

5. 2 blue 1 red √√√ = government can take action against you

6.  एक नीली और दो लाल 1 blue 2 red √√√ = government is screening your data

7. 3 red √√√ =  government has initiated action & you'll receive summons from court

be a responsible citizen & share with your friends

🙏🏽🙏🏽🙏🏽",0.98530,421
308887,Very similar,,"good morning sir
i am a student of pgims rohtak haryana
as you know due to pandemic situation our honorable pm decided to lockdown the whole country and also our  respect cm decided the implementation of section 144 but still our classes are not suspended where we gather in a huge number (250) and also the hostel mess are still open.
there are about 4 mess in boys hostel and 2  in girls hostel which have a workload of 4 mbbs batches (3 have 200 students and 19 batch have a strength 250 students) 4 bds batches, nursing batches","good evening sir
i am a student of pgims rohtak haryana
as you know due to pandemic situation our honorable pm decided to lockdown the whole country and also our  respect cm decided the implementation of section 144 but still our classes are not suspended where we gather in a huge number (250) and also the hostel mess are still open.
there are about 4 mess in boys hostel and 2  in girls hostel which have a workload of 4 mbbs batches (3 have 200 students and 19 batch have a strength 250 students) 4 bds batches, nursing batches",0.98332,531
348491,Very similar,,"pl reply
due to rapid spreading of corona virous in mumbai specially dhaeavi slum area,. i want to express my following suggestions:
1.  dhaeavi slum area. is a dense population area,
2. it is not possible  in slum area to maintain social distancing.
3.  it is also not possible to quarantine them in the slum area.
4.   our advise is to shift  maximum  slum population  in the  vacated building, or  flats  or high rise building  which is newly constructed in mumbai area, so that  corona not spreading or maintain social distancing.
this","due to rapid spreading of corona virous in mumbai specially dhaeavi slum area,. i want to express my following suggestions:
1.  dhaeavi slum area. is a dense population area,
2. it is not possible  in slum area to maintain social distancing.
3.  it is also not possible to quarantine them in the slum area.
4.   our advise is to shift  maximum  slum population  in the  vacated building, or  flats  or high rise building  which is newly constructed in mumbai area, so that  corona not spreading or maintain social distancing.
this is",0.98145,539
